symbol,name,lastsale,netchange,pctchange,volume,marketCap,country,ipoyear,industry,sector,url
A,Agilent Technologies Inc. Common Stock,$132.73,0.29,0.219%,1303352,38897227845.00,United States,1999,Biotechnology: Laboratory Analytical Instruments,Industrials,/market-activity/stocks/a
AA,Alcoa Corporation Common Stock ,$35.53,0.06,0.169%,8014793,6379730915.00,United States,2016,Aluminum,Industrials,/market-activity/stocks/aa
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,$10.61,-0.02,-0.188%,8979,0.00,,2023,Blank Checks,Finance,/market-activity/stocks/aact
AAN,Aarons Holdings Company Inc. Common Stock ,$7.48,0.17,2.326%,196087,227103526.00,United States,2020,Diversified Commercial Services,Miscellaneous,/market-activity/stocks/aan
AAP,Advance Auto Parts Inc.,$78.69,1.49,1.93%,1731912,4686071495.00,United States,,Auto & Home Supply Stores,Consumer Discretionary,/market-activity/stocks/aap
AAT,American Assets Trust Inc. Common Stock,$20.99,0.43,2.091%,263022,1278202548.00,United States,2011,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/aat
AB,AllianceBernstein Holding L.P.  Units,$33.03,0.56,1.725%,206943,3776521086.00,United States,,Investment Managers,Finance,/market-activity/stocks/ab
ABBV,AbbVie Inc. Common Stock,$166.41,1.75,1.063%,5532360,293958831671.00,United States,2012,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/abbv
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),$2.29,0.01,0.439%,13709023,36076278220.00,Brazil,2013,Beverages (Production/Distribution),Consumer Staples,/market-activity/stocks/abev
ABG,Asbury Automotive Group Inc Common Stock,$215.12,3.63,1.716%,157031,4389334510.00,United States,2002,Retail-Auto Dealers and Gas Stations,Consumer Discretionary,/market-activity/stocks/abg
ABM,ABM Industries Incorporated Common Stock,$44.32,0.52,1.187%,416078,2805078571.00,United States,,Diversified Commercial Services,Finance,/market-activity/stocks/abm
ABR,Arbor Realty Trust Common Stock,$12.62,0.14,1.122%,3148036,2378936432.00,United States,2004,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/abr
ABT,Abbott Laboratories Common Stock,$107.28,2.01,1.909%,10521570,186150570524.00,United States,,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/abt
AC,Associated Capital Group Inc. Common Stock,$32.28,-0.25,-0.769%,1146,693799721.00,United States,2015,Investment Bankers/Brokers/Service,Finance,/market-activity/stocks/ac
ACA,Arcosa Inc. Common Stock ,$75.88,0.1,0.132%,464664,3684905731.00,United States,2018,Metal Fabrications,Industrials,/market-activity/stocks/aca
ACCO,Acco Brands Corporation Common Stock,$4.92,0.06,1.235%,659816,467047334.00,United States,,Publishing,Consumer Discretionary,/market-activity/stocks/acco
ACEL,Accel Entertainment Inc. ,$11.37,0.11,0.977%,203744,952845727.00,United States,2017,Services-Misc. Amusement & Recreation,Consumer Discretionary,/market-activity/stocks/acel
