symbol,name,lastsale,netchange,pctchange,volume,marketCap,country,ipoyear,industry,sector,url
A,Agilent Technologies Inc. Common Stock,$132.73,0.29,0.219%,1303352,38897227845.00,United States,1999,Biotechnology: Laboratory Analytical Instruments,Industrials,/market-activity/stocks/a
AA,Alcoa Corporation Common Stock ,$35.53,0.06,0.169%,8014793,6379730915.00,United States,2016,Aluminum,Industrials,/market-activity/stocks/aa
AACG,ATA Creativity Global American Depositary Shares,$0.97,-0.06,-5.825%,11407,31040126.00,China,2008,Other Consumer Services,Real Estate,/market-activity/stocks/aacg
AACI,Armada Acquisition Corp. I Common Stock,$11.13,-0.04,-0.358%,54710,0.00,United States,2021,Blank Checks,Finance,/market-activity/stocks/aaci
AACIW,Armada Acquisition Corp. I Warrant,$0.1172,0.0,0.00%,5,0.00,United States,2021,Blank Checks,Finance,/market-activity/stocks/aaciw
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,$10.61,-0.02,-0.188%,8979,0.00,,2023,Blank Checks,Finance,/market-activity/stocks/aact
AADI,Aadi Bioscience Inc. Common Stock,$1.84,0.04,2.222%,137812,45179737.00,United States,,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/aadi
AAGR,African Agriculture Holdings Inc. Common Stock,$0.346,-0.035,-9.186%,101860,20021923.00,United States,2021,Finance: Consumer Services,Finance,/market-activity/stocks/aagr
AAGRW,African Agriculture Holdings Inc. Warrant,$0.0125,0.0,0.00%,33,723335.00,United States,2021,Finance: Consumer Services,Finance,/market-activity/stocks/aagrw
AAL,American Airlines Group Inc. Common Stock,$14.11,0.09,0.642%,27415448,9238618674.00,United States,,Air Freight/Delivery Services,Consumer Discretionary,/market-activity/stocks/aal
AAMC,Altisource Asset Management Corp Com,$3.01,-0.08,-2.589%,2852,7689081.00,United States,,Real Estate,Finance,/market-activity/stocks/aamc
AAME,Atlantic American Corporation Common Stock,$1.96,0.01,0.513%,4364,39988484.00,United States,,Life Insurance,Finance,/market-activity/stocks/aame
AAN,Aarons Holdings Company Inc. Common Stock ,$7.48,0.17,2.326%,196087,227103526.00,United States,2020,Diversified Commercial Services,Miscellaneous,/market-activity/stocks/aan
AAOI,Applied Optoelectronics Inc. Common Stock,$12.12,0.46,3.945%,2103997,465384790.00,United States,2013,Semiconductors,Technology,/market-activity/stocks/aaoi
AAON,AAON Inc. Common Stock,$85.41,0.17,0.199%,486568,6967891203.00,United States,,Industrial Machinery/Components,Industrials,/market-activity/stocks/aaon
AAP,Advance Auto Parts Inc.,$78.69,1.49,1.93%,1731912,4686071495.00,United States,,Auto & Home Supply Stores,Consumer Discretionary,/market-activity/stocks/aap
AAPL,Apple Inc. Common Stock,$165.00,-2.04,-1.221%,67770853,2547910365000.00,United States,1980,Computer Manufacturing,Technology,/market-activity/stocks/aapl
AAT,American Assets Trust Inc. Common Stock,$20.99,0.43,2.091%,263022,1278202548.00,United States,2011,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/aat
